sim_t,pos,vel,state,cmd_exact,cmd_lo,cmd_hi
397.492000,0.030000,0.000000,unrailed,0.030000,,
397.493000,0.030000,-0.000000,unrailed,0.030000,,
397.494000,0.030000,0.000000,unrailed,0.030000,,
397.495000,0.030000,-0.000000,unrailed,0.030000,,
397.496000,0.030000,0.000000,unrailed,0.030000,,
397.497000,0.030000,-0.000000,unrailed,0.030000,,
397.498000,0.030000,0.000000,unrailed,0.030000,,
397.499000,0.030000,-0.000000,unrailed,0.030000,,
397.500000,0.030000,0.000000,unrailed,0.030000,,
397.501000,0.030000,-0.000000,unrailed,0.030000,,
397.502000,0.030000,0.000000,unrailed,0.030000,,
397.503000,0.030000,-0.000000,unrailed,0.030000,,
397.504000,0.030000,0.000000,unrailed,0.030000,,
397.505000,0.030000,-0.000000,unrailed,0.030000,,
397.506000,0.030000,0.000000,unrailed,0.030000,,
397.507000,0.030000,-0.000000,unrailed,0.030000,,
397.508000,0.030000,0.000000,unrailed,0.030000,,
397.509000,0.030000,-0.000000,unrailed,0.030000,,
397.510000,0.030000,0.000000,unrailed,0.030000,,
397.511000,0.030000,-0.000000,unrailed,0.030000,,
397.512000,0.030000,0.000000,unrailed,0.030000,,
397.513000,0.030000,-0.000000,unrailed,0.030000,,
397.514000,0.030000,0.000000,unrailed,0.030000,,
397.515000,0.030000,-0.000000,unrailed,0.030000,,
397.516000,0.030000,0.000000,unrailed,0.030000,,
397.517000,0.030000,-0.000000,unrailed,0.030000,,
397.518000,0.030000,0.000000,unrailed,0.030000,,
397.519000,0.030000,-0.000000,unrailed,0.030000,,
397.520000,0.030000,0.000000,unrailed,0.030000,,
397.521000,0.030000,-0.000000,unrailed,0.030000,,
397.522000,0.030000,0.000000,unrailed,0.030000,,
397.523000,0.030000,-0.000000,unrailed,0.030000,,
397.524000,0.030000,0.000000,unrailed,0.030000,,
397.525000,0.030000,-0.000000,unrailed,0.030000,,
397.526000,0.030000,0.000000,unrailed,0.030000,,
397.527000,0.030000,-0.000000,unrailed,0.030000,,
397.528000,0.030000,0.000000,unrailed,0.030000,,
397.529000,0.030000,-0.000000,unrailed,0.030000,,
397.530000,0.030000,0.000000,unrailed,0.030000,,
397.531000,0.030000,-0.000000,unrailed,0.030000,,
397.532000,0.030000,0.000000,unrailed,0.030000,,
397.533000,0.030000,-0.000000,unrailed,0.030000,,
397.534000,0.030000,0.000000,unrailed,0.030000,,
397.535000,0.030000,-0.000000,unrailed,0.030000,,
397.536000,0.030000,0.000000,unrailed,0.030000,,
397.537000,0.030000,-0.000000,unrailed,0.030000,,
397.538000,0.030000,0.000000,unrailed,0.030000,,
397.539000,0.030000,-0.000000,unrailed,0.030000,,
397.540000,0.030000,0.000000,unrailed,0.030000,,
397.541000,0.030000,-0.000000,unrailed,0.030000,,
397.542000,0.030000,0.000000,unrailed,0.030000,,
397.543000,0.030000,-0.000000,unrailed,0.030000,,
397.544000,0.030000,0.000000,unrailed,0.030000,,
397.545000,0.030000,-0.000000,unrailed,0.030000,,
397.546000,0.030000,0.000000,unrailed,0.030000,,
397.547000,0.030000,-0.000000,unrailed,0.030000,,
397.548000,0.030000,0.000000,unrailed,0.030000,,
397.549000,0.030000,-0.000000,unrailed,0.030000,,
397.550000,0.030000,0.000000,unrailed,0.030000,,
397.551000,0.030000,-0.000000,unrailed,0.030000,,
397.552000,0.030000,0.000000,unrailed,0.030000,,
397.553000,0.030000,-0.000000,unrailed,0.030000,,
397.554000,0.030000,0.000000,unrailed,0.030000,,
397.555000,0.030000,-0.000000,unrailed,0.030000,,
