cycle,sim_instance,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
1,1,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002541,PASS,no,1.0000,132,runs/cycle_001.log
2,2,0,SUCCESS,STALLED,0.4183,0.0000,0.350783,FAIL,yes,1.0000,126,runs/cycle_002.log
3,3,0,SUCCESS,TIMED_OUT_HELD,0.4033,0.0000,0.350657,FAIL,yes,1.0000,92,runs/cycle_003.log
4,4,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.002463,PASS,no,1.0000,137,runs/cycle_004.log
5,5,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.350520,FAIL,yes,1.0000,129,runs/cycle_005.log
6,6,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.350423,FAIL,yes,1.0000,132,runs/cycle_006.log
7,7,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002516,PASS,no,1.0000,138,runs/cycle_007.log
