cycle,sim_instance,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
1,1,0,SUCCESS,STALLED,0.4029,0.0000,0.000266,PASS,no,1.0000,82,runs/cycle_001.log
2,2,0,SUCCESS,STALLED,0.4029,0.0000,0.000276,PASS,no,1.0000,90,runs/cycle_002.log
3,3,0,SUCCESS,STALLED,0.4029,0.0000,0.000426,PASS,no,1.0000,87,runs/cycle_003.log
